 UJEŚCISKO-ŁOSTOWICE ,  ﻿11 Listopada
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kolonia Mysia
 ANIOŁKI ,  Kolonia Ochota
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kolonia Orka
 CHEŁM ,  Kolonia Postęp
 ANIOŁKI ,  Kolonia Praca
 ANIOŁKI ,  Kolonia Stanisława Przybyszewskiego
 CHEŁM ,  Kolonia Przyszłość
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kolonia Rola
 CHEŁM ,  Kolonia Studentów
 WRZESZCZ DOLNY ,  Kolonia Uroda
 SIEDLCE ,  Kolonia Wyżyny
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Kolonia Zaranie
 SIEDLCE ,  Kolonia Zręby
 WRZESZCZ DOLNY ,  Kolonia Żeńcy
 WYSPA SOBIESZEWSKA ,  Kolonijna
 CHEŁM ,  Kolorowa
 PIECKI-MIGOWO ,  Krzysztofa Kolumba
 WRZESZCZ GÓRNY ,  Hugo Kołłątaja
 WRZESZCZ GÓRNY ,  Hugo Kołłątaja
 PRZYMORZE MAŁE ,  Kołobrzeska
 PRZYMORZE WIELKIE ,  Kołobrzeska 
 UJEŚCISKO-ŁOSTOWICE ,  Mariana Kołodzieja
 ŚRÓDMIEŚCIE ,  Kołodziejska
 OSOWA ,  Komandorska
 ZASPA-ROZSTAJE ,  Kombatantów
 OSOWA ,  Komety
 WRZESZCZ GÓRNY ,  Stanisława Konarskiego
 OSOWA ,  Konkordii
 WRZESZCZ GÓRNY ,  Marii Konopnickiej
 OSOWA ,  Konstelacji
 STOGI ,  Kontenerowa
 WRZESZCZ DOLNY ,  Konwalii
 WRZESZCZ DOLNY ,  Kopalniana
 CHEŁM ,  prof. Kazimierza Kopeckiego
 ANIOŁKI ,  Mikołaja Kopernika
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Koralowa
 ZASPA-ROZSTAJE ,  Janusza Korczaka
 STOGI ,  Kormoranów
 OSOWA ,  Korsarzy
 KOKOSZKI ,  Kortowska
 BRZEŹNO ,  Konrada Korzeniowskiego
 ŚRÓDMIEŚCIE ,  Korzenna
 KOKOSZKI ,  Kosmonautów
 WRZESZCZ GÓRNY ,  Juliusza Kossaka
 UJEŚCISKO-ŁOSTOWICE ,  Koszalińska
 SIEDLCE ,  Kościelna
 OLIWA ,  Kościerska
 WRZESZCZ DOLNY ,  Tadeusza Kościuszki
 BRZEŹNO ,  Józefa Kotarbińskiego
 ŚRÓDMIEŚCIE ,  Kotwiczników
 ŚRÓDMIEŚCIE ,  Kowalska
 ŚRÓDMIEŚCIE ,  Kozia
 ANIOŁKI ,  Jana Kozietulskiego
 OSOWA ,  Koziorożca
 OSOWA ,  Krajeńska
 ŚRÓDMIEŚCIE ,  Kramarska
 WYSPA SOBIESZEWSKA ,  Krańcowa
 BRZEŹNO ,  Ignacego Krasickiego
 VII DWÓR ,  Krasnoludków
 WRZESZCZ DOLNY ,  Józefa Kraszewskiego
 JASIEŃ ,  Kraśnięta
 OLIWA ,  Franciszka Kręckiego
 WRZESZCZ GÓRNY ,  Kręta
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Krokusowa
 ŚRÓDMIEŚCIE ,  Krosienka
 ŚRÓDMIEŚCIE ,  Krosna
 ŚRÓDMIEŚCIE ,  Krowia
 ŚRÓDMIEŚCIE ,  Krowoderska
 PIECKI-MIGOWO ,  Królewskie Wzgórze
 ŚRÓDMIEŚCIE ,  Królikarnia
 CHEŁM ,  Królowej Bony
 CHEŁM ,  Królowej Jadwigi
 OLSZYNKA ,  Krótka
 STOGI ,  Krucza
 PIECKI-MIGOWO ,  Leona Kruczkowskiego
 OSOWA ,  Kruszwicka
 WYSPA SOBIESZEWSKA ,  Krylowa
 PRZYMORZE MAŁE ,  Krynicka
 PRZERÓBKA ,  Kryniczna
 CHEŁM ,  Kryształowa
 WRZESZCZ DOLNY ,  Lucyny Krzemienieckiej
 CHEŁM ,  Krzemowa
 NOWY PORT ,  Krzywa
 PRZYMORZE MAŁE ,  Bolesława Krzywoustego
 WZGÓRZE MICKIEWICZA ,  Księdza Robaka
 WYSPA SOBIESZEWSKA ,  Księżycowa
 PRZERÓBKA ,  Ku Ujściu
 WRZESZCZ DOLNY ,  Franciszka Kubacza
 OLIWA ,  Kubusia Puchatka
 PRZERÓBKA ,  Kujawska
 WRZESZCZ DOLNY ,  Stanisława Kunickiego
 PRZYMORZE MAŁE ,  Kupały
 ŚRÓDMIEŚCIE ,  Kupiecka
 UJEŚCISKO-ŁOSTOWICE ,  Marii Kureckiej
 CHEŁM ,  Kurierów Armii Krajowej
 ŚRÓDMIEŚCIE ,  Kurkowa
 SUCHANINO ,  Karola Kurpińskiego
 ŚRÓDMIEŚCIE ,  Kurza
 VII DWÓR ,  Ignacego Kurzyńskiego
 PIECKI-MIGOWO ,  Janusza Kusocińskiego
 JASIEŃ ,  Kuszników
 ŚRÓDMIEŚCIE ,  Kuśnierska
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Kutnowska
 OSOWA ,  Eugeniusza Kwiatkowskiego
 WYSPA SOBIESZEWSKA ,  Kwiatowa
 OSOWA ,  Kwidzyńska
 OLIWA ,  Kwietna
 KOKOSZKI ,  Kwietniowa
 ŚRÓDMIEŚCIE ,  Lastadia
 ŚRÓDMIEŚCIE ,  Latarniana
 ŚRÓDMIEŚCIE ,  Lawendowa
 WYSPA SOBIESZEWSKA ,  Lazurowa
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Lecha
 WRZESZCZ DOLNY ,  Konrada Leczkowa
 OSOWA ,  Ledy
 UJEŚCISKO-ŁOSTOWICE ,  Legendy
 WRZESZCZ DOLNY ,  Aleja Legionów
 SIEDLCE ,  Legnicka
 ŚRÓDMIEŚCIE ,  Lektykarska
 WRZESZCZ DOLNY ,  Joachima Lelewela
 PIECKI-MIGOWO ,  Stanisława Lema
 UJEŚCISKO-ŁOSTOWICE ,  Stanisława Lema
 PRZERÓBKA ,  Teofila Lenartowicza
 WRZESZCZ GÓRNY ,  Antoniego Lendziona
 WRZESZCZ DOLNY ,  Gotfryda Lengnicha
 JASIEŃ ,  Kazimierza Leskiego
 JASIEŃ ,  Leszczynowa
 ZASPA-ROZSTAJE ,  Leszczyńskich
 PRZYMORZE MAŁE ,  Leszka Białego
 OLIWA ,  Leśna
 BRĘTOWO ,  Leśna Góra
 UJEŚCISKO-ŁOSTOWICE ,  Leśny Potok
 WRZESZCZ GÓRNY ,  Leśny Stok
 OLSZYNKA ,  Letnia
 LETNICA ,  Letnicka
 OSOWA ,  Letniskowa
 WYSPA SOBIESZEWSKA ,  Lewkoniowa
 ZASPA-MŁYNIEC ,  Braci Lewoniewskich
 KOKOSZKI ,  Leźnieńska
 PRZYMORZE MAŁE ,  Lęborska
 OLIWA ,  Alfa Liczmańskiego
 UJEŚCISKO-ŁOSTOWICE ,  Liliowa
 WRZESZCZ DOLNY ,  Lilli Wenedy
 JASIEŃ ,  Limbowa
 STRZYŻA ,  Samuela Lindego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Lipce
 KOKOSZKI ,  Lipcowa
 STRZYŻA ,  Karola Lipińskiego
 UJEŚCISKO-ŁOSTOWICE ,  Lipowa
 CHEŁM ,  prof. Romana Lipowicza
 KOKOSZKI ,  Lipuska
 MATARNIA ,  Lirowa
 ŚRÓDMIEŚCIE ,  Lisia Grobla
 OLSZYNKA ,  Listki
 SUCHANINO ,  Franciszka Liszta
 RUDNIKI ,  Litewska
 CHEŁM ,  Lotników Polskich
 KOKOSZKI ,  Lubczykowa
 UJEŚCISKO-ŁOSTOWICE ,  Lubelska
 KOKOSZKI ,  Lublewska
 JASIEŃ ,  Lubowidzka
 CHEŁM ,  Lubuska
 STRZYŻA ,  Ludowa
 MATARNIA ,  Lutniowa
 WRZESZCZ DOLNY ,  Lwowska
 UJEŚCISKO-ŁOSTOWICE ,  Łabędzia
 ŚRÓDMIEŚCIE ,  Łagiewniki
 KOKOSZKI ,  Łagowska
 BRZEŹNO ,  Łamana
 OLSZYNKA ,  Łanowa
 CHEŁM ,  Łańcucka
 KOKOSZKI ,  Łapalicka
 KOKOSZKI ,  Łapińska
 ŚRÓDMIEŚCIE ,  Ławnicza
 ŚRÓDMIEŚCIE ,  Łąkowa
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Łęczycka
 OLSZYNKA ,  Łęgi
 JASIEŃ ,  Łosia
 SIEDLCE ,  Łostowicka
 JASIEŃ ,  Łowców
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Łowicka
 BRZEŹNO ,  Łozy
 UJEŚCISKO-ŁOSTOWICE ,  Łódzka
 CHEŁM ,  Łucznicza
 WRZESZCZ GÓRNY ,  Ignacego Łukasiewicza
 WYSPA SOBIESZEWSKA ,  mjr Łupaszko
 CHEŁM ,  Łużycka
 CHEŁM ,  Łyżwiarska
 WZGÓRZE MICKIEWICZA ,  Macieja
 OSOWA ,  kpt. Konstantego Maciejewicza
 KOKOSZKI ,  Maciejkowa
 KOKOSZKI ,  Macierzankowa
 VII DWÓR ,  Macierzy Szkolnej w Gdańsku
 CHEŁM ,  Antoniego Madalińskiego 
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Antoniego Madalińskiego
 PIECKI-MIGOWO ,  Magellana
 UJEŚCISKO-ŁOSTOWICE ,  Magnoliowa
 PRZYMORZE MAŁE ,  księdza Jana Majdera
 ZASPA-ROZSTAJE ,  Majewskich
 OLIWA ,  Aleksandra Majkowskiego
 OLSZYNKA ,  Majowa
 OLSZYNKA ,  Maki
 WRZESZCZ GÓRNY ,  Kornela Makuszyńskiego
 PRZYMORZE MAŁE ,  Malborska
 SIEDLCE ,  Jacka Malczewskiego
 KOKOSZKI ,  Malinowa
 WRZESZCZ GÓRNY ,  Stanisława Małachowskiego
 SUCHANINO ,  Witolda Małcużyńskiego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Małomiejska
 WRZESZCZ DOLNY ,  Małoogrodowa
 KOKOSZKI ,  Franciszka Mamuszki
 WRZESZCZ DOLNY ,  Manifestu Połanieckiego
 KOKOSZKI ,  Marcowa
 ŚRÓDMIEŚCIE ,  Mariacka
 CHEŁM ,  Marii Ludwiki
 OSOWA ,  Marsa
 PIECKI-MIGOWO ,  Heleny Marusarzówny
 WZGÓRZE MICKIEWICZA ,  Maryli
 LETNICA ,  Marynarki Polskiej
 MŁYNISKA ,  Marynarki Polskiej
 NOWY PORT ,  Marynarki Polskiej
 WYSPA SOBIESZEWSKA ,  Marynarska
 JASIEŃ ,  Marzeń
 KOKOSZKI ,  Maszynowa
 UJEŚCISKO-ŁOSTOWICE ,  Matecznikowa
 WRZESZCZ GÓRNY ,  Jana Matejki
 BRĘTOWO ,  Matemblewska
 WRZESZCZ GÓRNY ,  Matki Polki
 BRĘTOWO ,  Mazowiecka
 BRZEŹNO ,  Mazurska
 VII DWÓR ,  Józefa Mehoffera
 ZASPA-ROZSTAJE ,  Janusza Meissnera
 ŚRÓDMIEŚCIE ,  Menonitów
 OSOWA ,  Merkurego
 KOKOSZKI ,  Metalowców
 OSOWA ,  Meteorytowa
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Mewy
 KOKOSZKI ,  Mezowska
 RUDNIKI ,  Miałki Szlak
 RUDNIKI ,  Michałki
 VII DWÓR ,  Piotra Michałowskiego
 LETNICA ,  Antoniego Michny
 CHEŁM ,  Jana Michonia
 WRZESZCZ DOLNY ,  Adama Mickiewicza
 KOKOSZKI ,  Miechucińska
 OLSZYNKA ,  Miedza
 WRZESZCZ GÓRNY ,  Miedziana
 WRZESZCZ DOLNY ,  Ludwika Mierosławskiego
 ŚRÓDMIEŚCIE ,  Mieszczańska
 I ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Mieszka
 OSOWA ,  Międzygwiezdna
 WRZESZCZ GÓRNY ,  Migowska
 OLIWA ,  Bernarda Milewskiego
 CHEŁM ,  Bernarda Milskiego
 BRZEŹNO ,  Miła
 CHEŁM ,  Miłocińska
 JASIEŃ ,  Miłosna
 UJEŚCISKO-ŁOSTOWICE ,  Czesława Miłosza
 OSOWA ,  Minerwy
 ŚRÓDMIEŚCIE ,  Minogi
 OLSZYNKA ,  Miodowa
 KOKOSZKI ,  Mirachowska
 OSOWA ,  Mirandy
 OLIWA ,  Stefana Miraua
 WRZESZCZ GÓRNY ,  ks. Leona Miszewskiego
 BRZEŹNO ,  Młodzieży Polskiej
 ŚRÓDMIEŚCIE ,  Młyńska
 ŚRÓDMIEŚCIE ,  Mniszki
 OLSZYNKA ,  Modra
 WYSPA SOBIESZEWSKA ,  Heleny Modrzejewskiej
 WRZESZCZ DOLNY ,  Modrzewiowa
 WRZESZCZ DOLNY ,  Andrzeja Modrzewskiego
 ŚRÓDMIEŚCIE ,  Mokra
 STRZYŻA ,  Stanisława Moniuszki
 KOKOSZKI ,  Montażystów
 PRZYMORZE MAŁE ,  Morawska
 JASIEŃ ,  Morelowa
 PIECKI-MIGOWO ,  Morenowa
 PIECKI-MIGOWO ,  Morenowe Wzgórze
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Morska
 ŚRÓDMIEŚCIE ,  Mostek
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Mostowa
 ŚRÓDMIEŚCIE ,  Motławska
 SUCHANINO ,  Wolfganga Mozarta
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Krzysztofa Mrongowiusza
 II PRZYMORZE MAŁE ,  Mściwoja
 CHEŁM ,  Feliksa Muzyka
 PIECKI-MIGOWO ,  prof. Stefana Myczkowskiego
 ŚRÓDMIEŚCIE ,  Mydlarska
 NOWY PORT ,  Mylna
 OSOWA ,  Myśliborska
 UJEŚCISKO-ŁOSTOWICE ,  Myśliwska
 PIECKI-MIGOWO ,  Myśliwska
 PIECKI-MIGOWO ,  Myśliwskie Wzgórze
 MŁYNISKA ,  Na Ostrowiu
 ŚRÓDMIEŚCIE ,  Na Piaskach
 ŚRÓDMIEŚCIE ,  Na Stępce
 ŚRÓDMIEŚCIE ,  Na Stoku
 OLSZYNKA ,  Na Szańcach
 WRZESZCZ GÓRNY ,  Na Wzgórzu
 NOWY PORT ,  Na Zaspę
 SIEDLCE ,  Na Zboczu
 STOGI ,  Nabrzeże Wiślane 
 STOGI ,  Nabrzeże WOC I 
 STOGI ,  Nabrzeże WOC II 
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Nad Brzegiem 
 STOGI ,  Nad Brzegiem
 SIEDLCE ,  Nad Jarem
 CHEŁM ,  Nad Potokiem
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Nad Starą Radunią
 WRZESZCZ DOLNY ,  Nad Stawem
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Nadmorska
 BRZEŹNO ,  Nadmorski Dwór
 WYSPA SOBIESZEWSKA ,  Nadwiślańska
 OLIWA ,  Nadwodna
 RUDNIKI ,  Naftowa
 KOKOSZKI ,  Nagietkowa
 ZASPA-MŁYNIEC ,  Jana Nagórskiego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Nakielska
 PIECKI-MIGOWO ,  Zofii Nałkowskiej
 CHEŁM ,  Narciarska
 WYSPA SOBIESZEWSKA ,  Narcyzowa
 SIEDLCE ,  Narewska
 WRZESZCZ GÓRNY ,  Gabriela Narutowicza
 LETNICA ,  Narwicka
 OSOWA ,  Nawigatorów
 ZASPA-ROZSTAJE ,  Augustyna Necla
 OSOWA ,  Neptuna
 SIEDLCE ,  Nidzicka
 CHEŁM ,  Nieborowska
 LETNICA ,  Niecała
 OSOWA ,  Mieczysława Niedziałkowskiego
 BRĘTOWO ,  Niedźwiednik
 KOKOSZKI ,  Niegocińska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Niegowo
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Niegowska
 WRZESZCZ DOLNY ,  Juliana Niemcewicza
 CHEŁM ,  Niepołomicka
 OLSZYNKA ,  Niezapominajek
 OSOWA ,  Nike
 STOGI ,  Niska
 OLSZYNKA ,  Niwki
 OLIWA ,  Stanisława Noakowskiego
 PIECKI-MIGOWO ,  Alfreda Nobla
 VII DWÓR ,  Piotra Norblina
 WRZESZCZ GÓRNY ,  Cypriana Kamila Norwida
 SUCHANINO ,  Zygmunta Noskowskiego
 SIEDLCE ,  Notecka
 OSOWA ,  Nowa
 KOKOSZKI ,  Nowatorów
 ŚRÓDMIEŚCIE ,  Nowe Ogrody
 OLIWA ,  bpa. Edmunda Nowickiego
 BRĘTOWO ,  Nowiec
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Nowiny
 WZGÓRZE MICKIEWICZA ,  Nowogródzka
 SIEDLCE ,  Nowolipie
 ŚRÓDMIEŚCIE ,  Nowomiejska
 UJEŚCISKO-ŁOSTOWICE ,  Nowosądecka
 STOGI ,  Nowotna
 STRZYŻA ,  Feliksa Nowowiejskiego
 OSOWA ,  Nowy Świat
 PRZYMORZE MAŁE ,  Obotrycka
 OLIWA ,  Obrońców Westerplatte
 PRZYMORZE WIELKIE ,  Obrońców Wybrzeża
 WRZESZCZ GÓRNY ,  Obywatelska
 CHEŁM ,  Odrzańska
 OSOWA ,  Odyseusza
 CHEŁM ,  Ofiar Grudnia’70
 ŚRÓDMIEŚCIE ,  Ogarna
 SIEDLCE ,  Michała Ogińskiego
 BRĘTOWO ,  Ogrodowa
 VII DWÓR ,  Romana i Apolonii Ogryczaków
 SIEDLCE ,  Ojcowska
 ŚRÓDMIEŚCIE ,  Okopowa
 KOKOSZKI ,  Okólna
 MŁYNISKA ,  Okrąg
 OSOWA ,  Okrętowa
 WRZESZCZ DOLNY ,  Stefana Okrzei
 BRZEŹNO ,  Oksywska
 CHEŁM ,  gen. Leopolda Okulickiego
 UJEŚCISKO-ŁOSTOWICE ,  Olchowa
 ŚRÓDMIEŚCIE ,  Olejarna
 CHEŁM ,  Olimpijska
 JASIEŃ ,  Oliwkowa
 NOWY PORT ,  Oliwska
 WRZESZCZ GÓRNY ,  Karola Olszewskiego
 PRZYMORZE WIELKIE ,  Olsztyńska
 OLSZYNKA ,  Olszyńska
 ŚRÓDMIEŚCIE ,  Ołowianka
 OLIWA ,  Opacka
 RUDNIKI ,  Opłotki
 PRZYMORZE WIELKIE ,  Opolska
 PIECKI-MIGOWO ,  Orańska
 OSOWA ,  Orfeusza
 OSOWA ,  Oriona
 OLIWA ,  Władysława Orkana
 BRZEŹNO ,  Orla
 UJEŚCISKO-ŁOSTOWICE ,  Orląt Lwowskich
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Orłowska
 VII DWÓR ,  Aleksandra Orłowskiego
 WYSPA SOBIESZEWSKA ,  Ornitologów
 JASIEŃ ,  Orzechowa
 ANIOŁKI ,  Elizy Orzeszkowej
 OLSZYNKA ,  Osiedle
 KOKOSZKI ,  Osiedlowa
 ŚRÓDMIEŚCIE ,  Osiek
 OSOWA ,  Osowski Zakątek
 BRZEŹNO ,  Juliusza Osterwy
 UJEŚCISKO-ŁOSTOWICE ,  Ostrołęcka
 WRZESZCZ DOLNY ,  Jana Ostroroga
 WRZESZCZ GÓRNY ,  Róży Ostrowskiej
 OLSZYNKA ,  Ostróżek
 JASIEŃ ,  Ostrzycka
 RUDNIKI ,  Osty
 OSOWA ,  Otago
 KOKOSZKI ,  Otomińska
 SUCHANINO ,  Otwarta
 OSOWA ,  Owczarnia
 ŚRÓDMIEŚCIE ,  Owsiana
 OSOWA ,  Ozyrysa
 ŚRÓDMIEŚCIE ,  Pachołów
 SUCHANINO ,  Ignacego Paderewskiego
 SUCHANINO ,  Niccola Paganiniego
 UJEŚCISKO-ŁOSTOWICE ,  Pagórkowa
 WZGÓRZE MICKIEWICZA ,  Pana Tadeusza
 VII DWÓR ,  dr. Władysława Paneckiego
 ŚRÓDMIEŚCIE ,  Panieńska
 SIEDLCE ,  Józefa Pankiewicza
 ŚRÓDMIEŚCIE ,  Pańska
 WRZESZCZ GÓRNY ,  Park Akademicki 
 ,  Park Brzeźnieński

 ,  Park Brzeźnieński im. Jana Jerzego

 BRZEŹNO ,  Haffnera 
 ŚRÓDMIEŚCIE ,  Grodzisko Park Kultury i Wypoczynku „Grodzisko” 
 ZASPA-ROZSTAJE ,  Park im. Jana Pawła II 
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Park Jelitkowski 
 ZASPA-ROZSTAJE ,  Park Millenium Gdańska 
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Park Nadmorski Prezydenta Ronalda Reagana 
 OLIWA ,  Park Oliwski im. Adama Mickiewicza 
 LETNICA ,  Park Ks. Kanonika Kazimierza Orkusza 
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Park Oruński 
 ANIOŁKI ,  Park im. Steffensów 
 ANIOŁKI ,  PRL Park XXV-lecia Polskiej Rzeczypospolitej Ludowej 
 OSOWA ,  Parkingowa
 OSOWA ,  Parkowa
 OSOWA ,  Parterowa
 WRZESZCZ GÓRNY ,  Partyzantów
 OSOWA ,  Parysa
 PIECKI-MIGOWO ,  Blaise’a Pascala
 OLSZYNKA ,  Pasieczna
 SIEDLCE ,  Jana Chryzostoma Paska
 CHEŁM ,  Pastelowa
 PIECKI-MIGOWO ,  Ludwika Pasteura
 PRZERÓBKA ,  Joachima Pastoriusza
 STOGI ,  Pawia
 WRZESZCZ GÓRNY ,  Stanisława Pawłowskiego
 BRZEŹNO ,  PCK Polskiego Czerwonego Krzyża
 OSOWA ,  Pegaza
 JASIEŃ ,  Mariana Pelczara
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Pelplińska
 OSOWA ,  Penelopy
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Perłowa
 OSOWA ,  Perseusza
 WRZESZCZ DOLNY ,  Jana Pestalozziego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Piaskowa
 OLIWA ,  Piastowska
 PRZYMORZE MAŁE ,  Piastowska
 PRZYMORZE WIELKIE ,  Piastowska
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Piastowska 
 PIECKI-MIGOWO ,  Piecewska
 PIECKI-MIGOWO ,  Piekarnicza
 UJEŚCISKO-ŁOSTOWICE ,  Pienińska
 CHEŁM ,  Aliny Pienkowskiej
 WYSPA SOBIESZEWSKA ,  Piesza
 WRZESZCZ GÓRNY ,  Szczepana Pileckiego
 ZASPA-MŁYNIEC ,  Pilotów
 CHEŁM ,  Piłkarska
 UJEŚCISKO-ŁOSTOWICE ,  Piotrkowska
 WRZESZCZ GÓRNY ,  Grzegorza Piramowicza
 STOGI ,  Pirs Paliwowy 
 STOGI ,  Pirs Rudowy 
 STOGI ,  Pirs Węglowy 
 ŚRÓDMIEŚCIE ,  Piwna
 OLSZYNKA ,  Piwonii
 ŚRÓDMIEŚCIE ,  Plac Dominikański
 OLIWA ,  Plac Dworcowy
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Plac Dwóch Miast
 NOWY PORT ,  Plac ks. prałata Jana Gustkowicza
 OLIWA ,  Plac Inwalidów Wojennych
 ŚRÓDMIEŚCIE ,  Plac Dariusza Kobzdeja
 WRZESZCZ GÓRNY ,  Plac Jerzego Kołodziejskiego
 WRZESZCZ DOLNY ,  Plac ks. Bronisława Komorowskiego
 STRZYŻA ,  Plac gen. Stanisława Maczka
 ANIOŁKI ,  Plac dr. Stefana Michalaka
 PRZYMORZE MAŁE ,  Plac Najświętszej Maryi Panny
 WRZESZCZ DOLNY ,  Plac bpa. Edwarda O’Rourke
 ŚRÓDMIEŚCIE ,  Plac Obrońców Poczty Polskiej
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Plac Oruński
 STRZYŻA ,  Plac marsz. Józefa Piłsudskiego
 ŚRÓDMIEŚCIE ,  Plac Tadeusza Polaka
 ŚRÓDMIEŚCIE ,  Plac Solidarności
 OSOWA ,  Plac św. Jana Apostoła
 ZASPA-ROZSTAJE ,  Plac Trzeciego Tysiąclecia
 ŚRÓDMIEŚCIE ,  Plac Wałowy
 WRZESZCZ DOLNY ,  Plac gen. Józefa Wybickiego
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Plac kardynała Stefana Wyszyńskiego
 ŚRÓDMIEŚCIE ,  Plac ks. Józefa Zator- Przytockiego
 ANIOŁKI ,  Plac Zebrań Ludowych
 OSOWA ,  Planetarna
 BRZEŹNO ,  Emilii Plater
 CHEŁM ,  Platynowa
 ŚRÓDMIEŚCIE ,  Plebania
 OSOWA ,  Plejady
 OSOWA ,  Plutona
 UJEŚCISKO-ŁOSTOWICE ,  Płocka
 RUDNIKI ,  Płońska
 ANIOŁKI ,  Płowce
 WRZESZCZ GÓRNY ,  Władysława Pniewskiego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Po Schodkach
 SIEDLCE ,  Pobiedzisko
 ŚRÓDMIEŚCIE ,  Pocztowa
 OLIWA ,  Poczty Gdańskiej
 ŚRÓDMIEŚCIE ,  Pod Zrębem
 ŚRÓDMIEŚCIE ,  Podbielańska
 MATARNIA ,  Podchorążych
 ŚRÓDMIEŚCIE ,  Podgarbary
 OLIWA ,  Podhalańska
 NOWY PORT ,  Podjazd
 BRĘTOWO ,  Podkarpacka
 WZGÓRZE MICKIEWICZA ,  Podkomorzego
 ŚRÓDMIEŚCIE ,  Podkramarska
 CHEŁM ,  Zbigniewa Podleckiego
 WRZESZCZ GÓRNY ,  Podleśna
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Podmiejska
 ŚRÓDMIEŚCIE ,  Podmłyńska
 ŚRÓDMIEŚCIE ,  Podmurze
 ŚRÓDMIEŚCIE ,  Podstoczna
 ŚRÓDMIEŚCIE ,  Podwale Grodzkie
 ŚRÓDMIEŚCIE ,  Podwale Przedmiejskie
 ŚRÓDMIEŚCIE ,  Podwale Staromiejskie
 ŚRÓDMIEŚCIE ,  Podzamcze
 WYSPA SOBIESZEWSKA ,  Pogodna
 WYSPA SOBIESZEWSKA ,  ppłk. Pohoreckiego
 CHEŁM ,  Pohulanka
 STOGI ,  kpt. ż.w. Witolda Poinca
 PRZERÓBKA ,  Pokładowa
 LETNICA ,  Pokoleń Lechii Gdańsk
 WRZESZCZ GÓRNY ,  Wincentego Pola
 VII DWÓR ,  Polanki
 OLIWA ,  Polanki
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Poleska
 WRZESZCZ GÓRNY ,  Politechniczna
 ŚRÓDMIEŚCIE ,  Polna
 ZASPA-ROZSTAJE ,  Polonii Gdańskiej
 RUDNIKI ,  Połęże
 BRZEŹNO ,  Południowa
 OLIWA ,  Pomorska
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Pomorska
 JASIEŃ ,  Pomyślna
 ANIOŁKI ,  księcia Józefa Poniatowskiego
 ŚRÓDMIEŚCIE ,  Pończoszników
 SIEDLCE ,  Popradzka
 WRZESZCZ DOLNY ,  Poprzeczna
 UJEŚCISKO-ŁOSTOWICE ,  Kazimierza Porębskiego
 BRZEŹNO ,  Portowców
 KOKOSZKI ,  Porzeczkowa
 OSOWA ,  Posejdona
 JASIEŃ ,  Potęgowska
 BRĘTOWO ,  Potokowa
 VII DWÓR ,  Aleksandra Potyrały
 ŚRÓDMIEŚCIE ,  Powalna
 ŚRÓDMIEŚCIE ,  Powroźnicza
 PIECKI-MIGOWO ,  Powstania Kościuszkowskiego
 PIECKI-MIGOWO ,  Powstania Listopadowego
 PIECKI-MIGOWO ,  Powstania Styczniowego
